WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	TRK ZENIT LTD 	LUHANS'KA OBLAST' 	UA 	1840FE16-E724-11DF-A961-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	SERVER 2003 / XP X64 	NONE 	NONE 	CHROME 	20.0.1132.57 	KAZAKHTELECOM DATA NETWORK ADMINISTRATION 	JSC KAZAKHTELECOM, ALMATY AFFILIATE 	ALMATY CITY 	KZ 	E0FDE35A-A961-11E0-8C37-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	4CDE9A8C-0EC6-11E1-B41B-00163E0301C1 	OTHER 	NIGHT
NONE 	NONE 	NONE 	NONE 	OPERA 	11.10 	TELIASONERA AB 	OPERA SOFTWARE ASA 	NOT FOUND 	PL 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	NONE_REF 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	VOLIA ISP 	KYIVSKI TELEKOMUNIKATSIYNI MEREZHI LLC 	KYYIV 	UA 	51ACC916-E316-11E0-99C4-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	FARLEP-INVEST OJSC 	FARLEP-LVIV-TELECOM, A SUBPROVIDER 	NOT FOUND 	UA 	B07FB6D0-886F-11E0-904C-00163E0301C1 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	INTERTELECOM LTD 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	PUBLIC JOINT STOCK COMPANY SOUTHERN TELECOMMUNICAT 	KRASNODAR 	RU 	3D487F12-BC44-11E1-98EC-00163E0300C1 	SERCH 	NIGHT
MACINTOSH 	NONE 	NONE 	NONE 	SAFARI 	5.1.7 	INSTRUMENTARIUM CORPORATION 	FORTEX CJSC 	MOSCOW CITY 	RU 	E207CA42-789E-11E1-9BCD-00163E0301C1 	NONE_REF 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.0.2 	WAN LTD., RELCOM-UKRAINE(TM) 	WAN 	NOT FOUND 	UA 	51ACC916-E316-11E0-99C4-00163E0300C1 	OTHER 	NIGHT
NONE 	NONE 	NONE 	NONE 	SAFARI 	MOZILLA/5.0 	JSC VIMPELCOM 	JSC VIMPELCOM 	MOSCOW CITY 	RU 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	ROSNIIROS RUSSIAN INSTITUTE FOR PUBLIC NETWORKS 	TNS GALLUP ADFACT 	NOT FOUND 	RU 	72BD65C0-472A-11E1-8594-00163E0301C1 	NONE_REF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	10.0.2 	NONE 	TELECOMUNIKATSIINA COMPANIYA LTD 	L'VIVS'KA OBLAST' 	UA 	F6990E90-EA8B-11E0-B8AC-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	WIRELESS NETWORK IN MOSCOW REGION 	MOSKVA 	RU 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	96544F80-A587-11DF-B1EA-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	WILDPARK CO 	MYKOLAYIVS'KA OBLAST' 	UA 	49A0EEE0-B81A-11E0-B02E-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	NONE 	GLOBAL TELECOMMUNICATION SYSTEMS LLC 	DNIPROPETROVS'KA OBLAST' 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	WILDPARK CO 	MYKOLAYIVS'KA OBLAST' 	UA 	B07FB6D0-886F-11E0-904C-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	96544F80-A587-11DF-B1EA-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	96544F80-A587-11DF-B1EA-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	96544F80-A587-11DF-B1EA-0015175ECAD8 	SERF 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	NONE 	JSC UKRTELECOM 	KYYIV 	UA 	7B2FC636-3901-11E0-83E5-00163E0300C1 	OTHER 	NIGHT
LINUX 	NONE 	ANDROID 	2.3.5 	SAFARI 	4.0 	VOLIA ISP 	VOLIA LVIV 	L'VIVS'KA OBLAST' 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	TELECOMUNIKATSIINA COMPANIYA LTD 	L'VIVS'KA OBLAST' 	UA 	A352545C-78DF-11E1-B285-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	JSC UKRTELECOM 	JSC UKRTELECOM 	NOT FOUND 	UA 	EE2040B2-2236-11E0-A382-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.47 	UKRAINIAN MOBILE COMMUNICATIONS 	UKRAINIAN MOBILE COMMUNICATIONS 	KYYIV 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	15.0.861.0 	AQUAFON JSC 	ZAO AQUAFON-GSM 	KRASNODAR 	RU 	1840FE16-E724-11DF-A961-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	NONE 	KHMELNITSKINFOCOM LLC 	KHMEL'NYTS'KA OBLAST' 	UA 	3CDA8EB4-1958-4557-8F55-E28F1814D8A4 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	INVESTELEKTROSVIAZ LTD. 	INVESTELEKTROSVIAZ LTD. 	MOSCOW CITY 	RU 	2F599CFA-5179-11E1-BCE3-00163E0301C1 	NONE_REF 	NIGHT
NONE 	NONE 	NONE 	NONE 	OPERA 	11.10 	KUWAIT INTERNET EXCHANGE 	OPERA SOFTWARE ASA 	NOT FOUND 	IS 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	JSC MOLDTELECOM S.A. 	NOT FOUND 	MD 	26A7F140-A588-11DF-9A29-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	VOLIA ISP 	KYIVSKI TELEKOMUNIKATSIYNI MEREZHI LLC 	RIVNENS'KA OBLAST' 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
